seed,num_agents,num_tasks,map_width,map_height,num_hazards,p_f,setup_time,calculation_time,success,tasks_rescued_pct,total_runtime,error_message,experiment_type
7,1,2,16,32,1,0.012,32.91139578819275,21.487024307250977,1.0,100.0,40.95720536401495,,1a_time_table
0,2,2,16,32,1,0.012,38.630433082580566,21.499258041381836,1.0,100.0,46.666817961260676,,1a_time_table
1,2,2,16,32,1,0.012,38.628132820129395,21.504284620285034,1.0,100.0,46.77611936395988,,1a_time_table
2,2,2,16,32,1,0.012,38.76305413246155,21.61623239517212,1.0,100.0,47.00460063992068,,1a_time_table
3,2,2,16,32,1,0.012,38.64516854286194,21.51251530647278,1.0,100.0,45.832543873693794,,1a_time_table
4,2,2,16,32,1,0.012,38.66747069358826,21.531084299087524,0.7791666666666667,88.95833333333333,45.08120270585641,,1a_time_table
5,2,2,16,32,1,0.012,38.71117377281189,21.523911237716675,1.0,100.0,46.87334987195209,,1a_time_table
6,2,2,16,32,1,0.012,38.653977155685425,21.504538536071777,1.0,100.0,46.94410401908681,,1a_time_table
7,2,2,16,32,1,0.012,38.63203477859497,21.44293451309204,1.0,100.0,46.802370708901435,,1a_time_table
0,3,2,16,32,1,0.012,44.43517255783081,21.539294004440308,1.0,100.0,52.6830257200636,,1a_time_table
1,3,2,16,32,1,0.012,44.336140632629395,21.48025941848755,0.9525,97.625,50.70214334409684,,1a_time_table
2,3,2,16,32,1,0.012,44.34106779098511,21.484687328338623,1.0,100.0,52.497089381329715,,1a_time_table
3,3,2,16,32,1,0.012,44.395724058151245,21.580369472503662,1.0,100.0,50.84339885413647,,1a_time_table
4,3,2,16,32,1,0.012,44.4090518951416,21.57460856437683,1.0,100.0,52.503371756058186,,1a_time_table
5,3,2,16,32,1,0.012,44.513065814971924,21.662991285324097,0.8041666666666667,80.41666666666667,52.638236390892416,,1a_time_table
6,3,2,16,32,1,0.012,44.38119196891785,21.5552921295166,1.0,100.0,52.52752475999296,,1a_time_table
7,3,2,16,32,1,0.012,44.39324927330017,21.5530846118927,1.0,100.0,52.49375860393047,,1a_time_table
0,1,3,16,32,1,0.012,75.3220751285553,55.00714159011841,0.8916666666666667,89.16666666666666,93.40188669087365,,1a_time_table
1,1,3,16,32,1,0.012,75.1336886882782,54.83043026924133,1.0,100.0,93.27507134294137,,1a_time_table
2,1,3,16,32,1,0.012,75.14291334152222,55.01890754699707,1.0,100.0,93.22686139307916,,1a_time_table
3,1,3,16,32,1,0.012,75.18778729438782,55.036065101623535,1.0,100.0,93.25858658226207,,1a_time_table
4,1,3,16,32,1,0.012,75.27683973312378,55.058141231536865,1.0,100.0,93.35053816391155,,1a_time_table
5,1,3,16,32,1,0.012,75.18349170684814,55.04531717300415,1.0,100.0,93.23021668195724,,1a_time_table
6,1,3,16,32,1,0.012,75.18018746376038,54.99616742134094,0.8941666666666667,89.41666666666667,93.21951124724,,1a_time_table
7,1,3,16,32,1,0.012,75.25653600692749,55.09095239639282,1.0,100.0,93.32629145588726,,1a_time_table
0,2,3,16,32,1,0.012,80.8149242401123,45.12326002120972,1.0,100.0,89.73815350607038,,1a_time_table
1,2,3,16,32,1,0.012,80.78725123405457,54.75645041465759,1.0,100.0,98.72842352697626,,1a_time_table
2,2,3,16,32,1,0.012,80.9614405632019,54.95317482948303,1.0,100.0,99.73682563193142,,1a_time_table
3,2,3,16,32,1,0.012,80.83600807189941,54.983261823654175,1.0,100.0,89.71553981723264,,1a_time_table
4,2,3,16,32,1,0.012,80.84366464614868,55.08639669418335,1.0,100.0,89.75878136884421,,1a_time_table
5,2,3,16,32,1,0.012,80.64055442810059,54.89258551597595,0.5608333333333333,85.36111111111111,89.58851534919813,,1a_time_table
6,2,3,16,32,1,0.012,80.62705755233765,54.894984006881714,1.0,100.0,98.44214595295489,,1a_time_table
7,2,3,16,32,1,0.012,80.4477915763855,54.69931960105896,1.0,100.0,98.35831982688978,,1a_time_table
0,3,3,16,32,1,0.012,86.3523678779602,54.82933330535889,1.0,100.0,95.25887016719207,,1a_time_table
1,3,3,16,32,1,0.012,86.5800404548645,55.11404800415039,1.0,100.0,95.51781076332554,,1a_time_table
2,3,3,16,32,1,0.012,86.61730432510376,55.08680295944214,1.0,100.0,104.5694333142601,,1a_time_table
3,3,3,16,32,1,0.012,86.47304463386536,54.98408508300781,1.0,100.0,95.41956041101366,,1a_time_table
4,3,3,16,32,1,0.012,86.4788556098938,55.05536413192749,1.0,100.0,95.3869347339496,,1a_time_table
5,3,3,16,32,1,0.012,86.55663466453552,55.06231212615967,0.5575,55.97222222222222,95.55153829604387,,1a_time_table
6,3,3,16,32,1,0.012,86.66451048851013,55.13561677932739,0.9991666666666666,99.97222222222221,95.595604413189,,1a_time_table
7,3,3,16,32,1,0.012,86.59211993217468,55.073227405548096,1.0,100.0,104.67483096010983,,1a_time_table
